brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,(2294),4.6
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,179,90,104,90,(525),4.7
NIKE,Tênis Nike Revolution 7 Masculino,179,90,104,90,,
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,(2294),4.6
ASICS,Tênis Asics Gt-1000 12 Masculino Cinza/vermelho - Pronado,179,90,104,90,,
ASICS,Tênis Asics Gt-1000 12 Masculino Preto/verde/amr - Pronado,179,90,104,90,,
NIKE,Tênis Nike Flex Experience Run 12 Masculino,179,90,104,90,,
FILA,Tênis Fila Racer Speedzone Homem,179,90,104,90,(35),4.9
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,179,90,104,90,(525),4.7
ASICS,"Tênis Asics Novablast 5 Masculino Preto - Corrida, Caminhada",179,90,104,90,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,179,90,104,90,(7108),4.2
REEBOK,Tênis Reebok Nanoflex Tr V2 Masculino,179,90,104,90,(99),4.8
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,179,90,104,90,(12282),4.5
NEW BALANCE,Tênis New Balance Fresh Foam Garoé Unissex Trilha Corrida,179,90,104,90,,
ASICS,Tênis Asics Magic Speed 4 Masculino,179,90,104,90,,
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,179,90,104,90,(13246),4.5
FILA,Tênis Fila Racer Speedzone Masculino,179,90,104,90,(73),4.9
ASICS,Tênis Asics Gel-nimbus 27 Masculino,179,90,104,90,,
REEBOK,Tênis Unissex Crossfit Reebok Nano X4,179,90,104,90,,
ASICS,Tênis Asics Gt-1000 12 Masculino Azul-aço/vrd Limão Pronado,179,90,104,90,,
MIZUNO,Tênis Mizuno Wave Mirai 7 Todo Preto Running Treino Corrida,179,90,104,90,,
REEBOK,Tênis Treino Reebok Nano X4 Unissex,179,90,104,90,,
NEW BALANCE,Tenis New Balance Fresh Foam Garoev2 Masculino,179,90,104,90,,
,Tenis Esportivo Corrida Masculino Ortopedico Leve Academia,179,90,104,90,,
UNDER ARMOUR,Tênis Under Armour Slight 3 Masculino Corrida Academia,179,90,104,90,,
AIR,Tenis Air Tn Dn Plus Vapor Drifit Premium Amortecedor Branco,179,90,104,90,,
GP,Kit Tenis Esportivo Corrida Resistente Carteira Mais Relogio,179,90,104,90,,
OLYMPIKUS,Olympikus Diffuse 5 Masculino Adultos,179,90,104,90,(789),4.8
ASICS,Tênis Asics Novablast 5 2025 - Luxe/cinza Taupe,179,90,104,90,,
,Tênis Genérica 997s Masculino Padrão Preço De Promoção,179,90,104,90,(8),4.8
ASICS,Tênis Masculino Esportivo Asics Confortável Caminhada,179,90,104,90,,
NEW BALANCE,Tênis New Balance Fresh Foam X 1080 V14,179,90,104,90,,
ASCENSION,Kit Tênis Esportivo Academia  Reforçado Masculino Relógio,179,90,104,90,,
,Tênis Esportivo Ultrabr Awj066,179,90,104,90,,
,Tênis Esportivo Alb Shoes Amortecedor Gel Masculino,179,90,104,90,,
UNDER ARMOUR,Tênis Under Armour Charged Great Preto Masculino,179,90,104,90,,
ASICS,Tênis Asics Gel Kayano 30 Masculino Azul-petróleo,179,90,104,90,,
,Tenis Masculino Barato Super Oferta Dynamic M3 Promoção,179,90,104,90,,
,Tênis Masculino Academia Esportivo Caminhada Under + Relógio,179,90,104,90,,
,Tenis Masculino Esportivo Urbano Macio Academia Space Leve,179,90,104,90,,
,Kit Tenis Masculino Academia Esportivo Macio + Relogio Smart,179,90,104,90,,
NEW SPEED,Kit 2 Pares De Tenis New Speed Classico Running Lançamento,179,90,104,90,,
RAYON,Tênis Masculino Casual Original Street,179,90,104,90,,
,Combo Tenis Masculino Original Casual Academia + Fone Ouvido,179,90,104,90,,
,Tênis Masculino Academia Caminhada Esportivo Under + Relógio,179,90,104,90,,
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,179,90,104,90,(6742),4.5
AIR,Promoção Tenis Air Tn Dn Plus Max Vapor Premium Branco 24h,179,90,104,90,,
ESPORTIVO,Tênis Masculino Academia Caminhada Esportivo Confortável,179,90,104,90,,
NEW SPEED,Tênis Masculino New Speed R Crossfit Treino Caminhada,179,90,104,90,,
OLYMPIKUS,Olympikus CORRIDA Veloz 2 Masculino Adultos,179,90,104,90,(368),4.8
